Locality,Postal code,Type,Build,Price,Number_rooms,Fully_equipped_kitchen,Furnished,Open_fire,Terrace,Ter_Area,Garden,Area_garden,Livable_surface_area,Surface_area_land,Numb_facades,Swimming_pool,State
Villers-le-Bouillet,4530,Villa,1,269000€,4,1,0,0,0,,1,977,160,1037,4,0,Excellent état
Villers-le-Bouillet,4530,Maison,1,269000€,4,1,0,0,0,,1,977,160,1037,4,0,Excellent état
Villers-le-Bouillet,4530,Bungalow,1,290000€,3,1,0,0,1,20,1,1600,155,1744,4,0,Bon
Uccle,1180,Les Promenades d'Uccle (B,0,De 365000€ À 465000€,,0,0,0,0,,0,,,,,0,
Waterloo,1410,Maison bel-étage,1,389000€,3,1,0,1,1,12,1,120,190,280,2,0,Fraîchement rénové
Woluwe-Saint-Lambert,1200,W64,0,De 426000€ À 640000€,,0,0,0,0,,0,,,,,0,
Woluwe-Saint-Lambert,1200,LES JARDINS DE WOLUWE,0,De 625000€ À 840000€,,0,0,0,0,,0,,,,,0,
Saint-Gilles,1060,Immeuble à appartements,1,950000€,9,1,0,0,1,27,1,23,515,140,2,0,À rénover
Bruxelles,1000,Louise 430,1,1550000€,,0,0,0,0,,0,,,,,0,
Ninove,9400,Appartement,1,229000€,2,1,0,0,0,,0,,72,,,0,Fraîchement rénové
Nivelles,1400,Appartement,1,253000€,2,0,0,0,0,,0,,89,,,0,Excellent état
Jodoigne,1370,Fermette,1,670000€,6,1,0,1,1,35,0,,352,4000,4,0,Fraîchement rénové
Bruxelles,1130,Penthouse,1,476000€,3,1,0,0,1,33,0,,148,,3,0,Excellent état
Bruxelles,1130,Penthouse,1,476000€,3,1,0,0,1,33,0,,148,,3,0,Excellent état
Brussels,1000,Penthouse,1,628500€,2,1,0,0,1,29,0,,91,,2,0,Excellent état
Schaerbeek,1030,Appartement,1,400000€,2,1,0,0,0,,0,,135,,2,0,Bon
Wanze,4520,Appartement,1,73750€ + 665€ par mois,2,0,0,0,0,,0,,110,,,0,Bon
Knokke,8300,Appartement,1,725000€,3,0,0,0,0,,0,,102,,2,0,Excellent état
Auderghem,1160,Delta Campus,0,De 127000€ À 138000€,,0,0,0,0,,0,,,,,0,
Enghien,7850,Appartement,1,250000€,3,1,0,0,0,,0,,101,,,0,Excellent état
Bruxelles,1000,"""ATLANTIS NEW""",0,De 335000€ À 399000€,,0,0,0,0,,0,,,,,0,
Anderlecht,1070,"""ATLANTIS""",0,De 335000€ À 399000€,,0,0,0,0,,0,,,,,0,
Bruxelles,1000,"""NAUTILUS NEW""",0,De 361080€ À 514080€,,0,0,0,0,,0,,,,,0,
Anderlecht,1070,"""NAUTILUS""",0,De 361080€ À 514080€,,0,0,0,0,,0,,,,,0,
Uccle,1180,LES TERRASSES DE GATTI,0,De 550000€ À 599000€,,0,0,0,0,,0,,,,,0,
Molenbeek-Saint-Jean,1080,Appartement,1,159000€,1,0,0,0,1,6,0,,60,,2,0,Bon
Bruxelles,1000,Appartement,1,300000€,1,1,0,0,1,15,0,,77,,,0,Excellent état
Anthisnes,4160,Maison,1,119000€,3,1,0,0,0,,0,,79,100,2,0,Bon
Pont-à-Celles,6238,Villa,1,329900€,3,1,0,0,1,15,1,300,210,1000,4,0,Bon
Knokke-Heist,8300,Appartement,1,697000€,1,1,0,0,0,,0,,71,,2,0,Excellent état
Bruxelles,1020,Loft,1,299000€,2,1,0,0,0,,0,,189,,2,0,Excellent état
Knokke-Heist,8300,Appartement,1,525000€,1,1,0,0,0,,0,,70,,2,1,Excellent état
Wielsbeke,8710,Villa,1,525000€,3,1,0,0,0,,0,,200,950,4,0,Bon
Waregem,8790,Villa,1,525000€,3,1,0,0,0,,0,,200,950,4,0,Bon
Renaix,9600,Maison,1,189500€,3,1,0,0,0,,0,,210,880,4,0,À rénover
Oostkamp,8020,Maison,1,495000€,3,1,0,1,0,,1,230,217,1045,3,0,Excellent état
Woluwe-Saint-Lambert,1200,Maison,1,825000€,6,1,0,0,0,,1,140,305,278,2,0,À rénover
Uccle,1180,Maison,1,2950000€,5,1,0,1,1,30,1,2000,600,2000,4,0,Excellent état
Forest,1190,"""FORESTINE""",0,De 218400€ À 275600€,,0,0,0,0,,0,,,,,0,
Louvain,3000,LUCID,0,De 225500€ À 1340000€,,0,0,0,0,,0,,,,,0,
Auvelais,5060,Duplex,1,318000€,3,1,0,0,1,22,0,,118,,2,0,Bon
Sprimont,4140,Bungalow,1,349000€,3,1,0,0,1,35,1,850,180,1674,4,0,Excellent état
Bruxelles,1130,Middle Way,1,476000€,,0,0,0,0,,0,,,,,0,
Rochefort,5580,Maison,1,599000€,4,0,0,1,1,75,1,4300,320,4342,4,0,Excellent état
Ixelles,1050,Immeuble mixte,1,985000€,3,1,0,0,0,,1,100,340,210,2,0,Bon
Ostende,8400,Appartement,1,169000€,2,0,0,0,0,,0,,82,,2,0,Bon
Cheratte,4602,Maison,1,165000€,3,1,0,0,1,60,1,700,170,1005,3,0,À rafraîchir
Huy,4500,Maison,1,239500€,4,0,0,0,0,,0,,140,95,2,0,Excellent état
Bouillon,6833,Maison,1,380000€,11,1,0,0,0,,0,,687,1012,4,0,À rafraîchir
Ottignies-Louvain-la-Neuve,1341,Villa,1,540000€,4,1,0,0,1,40,1,800,180,1220,4,0,Excellent état
Bruxelles,1000,Appartement,1,129000€,1,0,0,0,0,,0,,37,,3,0,
Auderghem,1160,Appartement,1,385000€,2,1,0,0,1,4,0,,75,,2,0,Excellent état
Woluwe-Saint-Lambert,1200,Appartement,1,414000€,3,1,0,0,1,29,0,,105,,,0,Excellent état
Alleur,4432,Maison,1,199000€,2,0,0,0,1,15,1,300,120,400,3,0,À rafraîchir
Ganshoren,1083,Immeuble à appartements,1,675000€,4,0,0,0,0,,1,85,240,310,2,0,Bon
Renaix,9600,Maison,1,319000€,5,1,0,0,0,,0,,191,690,3,0,À rafraîchir
Heffen,2801,Maison,1,430000€,3,1,0,1,0,,0,,155,2175,4,0,Bon
Mont-sur-Marchienne,6032,MARSIMMO,0,De 244000€ À 298000€,,0,0,0,0,,0,,,,,0,
Ans,4432,Appartement,1,164000€,2,0,0,0,0,,0,,82,,2,0,Excellent état
Marcinelle,6001,Maison,1,325000€,4,1,0,0,1,15,1,500,212,600,3,0,Excellent état
Jambes,5100,Maison,1,327500€,3,1,0,0,1,7,1,34,150,35,2,0,Excellent état
Lesve,5170,Maison,1,330000€,3,1,0,0,1,17,0,,123,500,4,0,Excellent état
Lontzen,4710,Villa,1,545000€,2,1,0,0,1,200,1,1710,262,1710,4,1,Excellent état
Woluwe-Saint-Pierre,1150,Villa,1,1950000€,5,1,0,0,0,,1,800,508,1100,4,0,Excellent état
Evere,1140,Appartement,1,335000€,2,1,0,0,1,10,0,,110,,,0,
Mons,7000,Appartement,1,127500€,1,1,0,0,1,6,0,,58,,4,0,Excellent état
Mons,7000,Appartement,1,175000€,2,1,0,0,1,11,0,,95,,4,0,Excellent état
Bertrix,6880,Appartement,1,189500€,2,1,0,0,1,14,0,,84,,,0,Excellent état
KUMTICH,3300,Maison,1,199000€,3,0,0,0,1,15,0,,154,400,3,0,À rénover
Anderlecht,1070,Appartement,1,219000€,2,1,0,0,1,14,0,,90,,4,0,Excellent état
Bruxelles,1000,Appartement,1,235000€,1,1,0,0,0,,0,,50,,2,0,Excellent état
Mont-Saint-Guibert,1435,Appartement,1,260000€,2,1,0,0,1,14,0,,88,,,0,Excellent état
Kessel-Lo,3010,Appartement,1,269500€,2,0,0,0,0,,0,,70,,2,0,Bon
Uccle,1180,Appartement,1,282500€,1,1,0,0,1,5,0,,74,,,0,Excellent état
Mons,7000,Penthouse,1,287000€,3,1,0,0,1,66,0,,107,,3,0,Fraîchement rénové
Bastogne,6600,Appartement,1,290000€,2,0,0,0,0,,0,,103,,,0,Excellent état
Woluwe-Saint-Lambert,1200,Appartement,1,294000€,1,1,0,0,1,5,0,,63,,,0,Excellent état
Auderghem,1160,Appartement,1,312000€,1,1,0,0,1,10,0,,66,,,0,Excellent état
Mont-Saint-Guibert,1435,Penthouse,1,318000€,2,1,0,0,1,28,0,,87,,,0,Excellent état
Anderlecht,1070,Penthouse,1,339750€,2,1,0,0,1,1383,0,,122,,,0,Excellent état
Auderghem,1160,Appartement,1,348000€,1,1,0,0,1,25,0,,76,,,0,Excellent état
Auderghem,1160,Appartement,1,368000€,2,1,0,0,1,5,0,,93,,,0,Excellent état
Woluwe-St-Lambert,1200,Appartement,1,375000€,2,1,0,0,1,8,0,,105,,2,0,Excellent état
Anderlecht,1070,Appartement,1,399000€,2,1,0,0,1,63,0,,113,,4,0,Excellent état
Mont-Saint-Guibert,1435,Penthouse,1,402000€,3,1,0,0,1,67,0,,124,,,0,Excellent état
Woluwe-Saint-Lambert,1200,Appartement,1,426000€,2,1,0,0,1,16,0,,93,,4,0,Excellent état
Mont-Saint-Guibert,1435,Appartement,1,428000€,2,1,0,0,1,37,0,,117,,2,0,Excellent état
Boutersem,3370,Maison,1,445000€,4,0,0,0,1,25,0,,250,483,3,0,Bon
Auderghem,1160,Appartement,1,450000€,3,1,0,0,1,5,0,,126,,4,0,Excellent état
Waterloo,1410,Penthouse,1,455000€,3,1,0,0,1,15,0,,124,,,0,Excellent état
Woluwe-Saint-Lambert,1200,Appartement,1,458000€,3,1,0,0,1,8,0,,109,,,0,Excellent état
WOLUWE,1200,Penthouse,1,464500€,2,1,0,0,1,18,0,,137,,,0,Excellent état
HAREN,1130,Penthouse,1,476000€,3,1,0,0,1,43,0,,156,,4,0,Excellent état
WOLUWE,1200,Penthouse,1,479000€,2,1,0,0,1,43,0,,135,,,0,Excellent état
Molenbeek-Saint-Jean,1080,Penthouse,1,499000€,3,1,0,0,1,50,0,,214,,,0,Excellent état
Woluwe-Saint-Lambert,1200,Appartement,1,499000€,3,1,0,0,1,7,0,,124,,4,0,Excellent état
Woluwe-Saint-Lambert,1200,Appartement,1,499000€,3,1,0,0,1,9,0,,124,,4,0,Excellent état
Ixelles,1050,Appartement,1,510000€,3,1,0,0,1,8,0,,116,,2,0,Excellent état
Etterbeek,1040,Loft,1,557600€,2,1,0,0,0,,0,,136,,,0,Fraîchement rénové
Uccle,1180,Penthouse,1,595000€,3,1,0,0,0,,0,,160,,,0,Bon
Woluwe-Saint-Lambert,1200,Appartement,1,625000€,3,1,0,0,1,85,0,,164,,4,0,Excellent état
Woluwe-Saint-Lambert,1200,Penthouse,1,625000€,3,1,0,0,1,85,0,,164,,2,0,Excellent état
Auderghem,1160,Appartement,1,630000€,3,1,0,0,1,23,0,,160,,4,0,Excellent état
Uccle,1180,Appartement,1,769000€,2,1,0,0,1,40,0,,142,,2,0,Excellent état
Uccle,1180,Appartement,1,769000€,2,1,0,0,1,40,0,,142,,3,0,Excellent état
WOLUWE-SAINT-LAMBERT,1200,Duplex,1,775000€,4,1,0,0,1,81,0,,238,,4,0,Excellent état
Woluwe-Saint-Pierre,1150,Penthouse,1,795000€,2,1,0,0,1,82,0,,138,,4,0,Excellent état
Woluwe-Saint-Lambert,1200,Penthouse,1,840000€,4,1,0,0,1,93,0,,238,,4,0,Excellent état
WOLUWE-SAINT-LAMBERT,1200,Duplex,1,840000€,4,1,0,0,1,85,0,,220,,4,0,Excellent état
Uccle,1180,Penthouse,1,1500000€,3,1,0,0,1,60,0,,220,,3,0,Excellent état
Uccle,1180,Appartement,1,1500000€,3,0,0,0,1,60,0,,220,,4,0,Excellent état
Ixelles,1050,Appartement,1,1550000€,3,1,0,0,1,39,0,,212,,3,0,Excellent état
Ixelles,1050,Penthouse,1,2500000€,4,1,0,0,1,111,0,,277,,2,0,Excellent état
